{
{0.111892 + 0.523052 I,-0.108129 - 0.0432387 I, 0.343178 + 0.282662 I, -0.0795876 - 0.188787 I, 0.17109 + 0.453712 I, 0.377329 + 0.288423 I} ,
{0.408536 + 0.335403 I, -0.000799001 - 0.106661 I, 0.253919 + 0.196483 I, -0.440326 - 0.0395686 I, 0.210036 + 0.424504 I, 0.0323088 + 0.4305 I},
{0.16627 + 0.264027 I, -0.312385 - 0.42376 I, 0.320031 + 0.30964 I, -0.324331 - 0.278075 I, 0.0957551 + 0.245353 I, 0.253047 + 0.333578 I},
{0.0681486 + 0.0431917 I, -0.392927 - 0.403756 I, 0.442551 + 0.375021 I, -0.246776 - 0.0801227 I, 0.0224855 + 0.384842 I, 0.223412 + 0.271565 I},
{0.145523 + 0.145495 I, -0.473064 - 0.174753 I, 0.316209 + 0.128345 I, -0.0210849 - 0.388161 I, 0.0881038 + 0.0152871 I, 0.453367 + 0.471396 I},
{0.20805 + 0.174662 I, -0.21829 - 0.309893 I, 0.24327 + 0.158895 I, -0.426295 - 0.431327 I, 0.1582 + 0.163127 I, 0.527909 + 0.000772843 I},
{0.360435 + 0.086236 I, -0.340374 - 0.0830298 I, 0.450332 + 0.117064 I, -0.455895 - 0.319557 I, 0.2939 + 0.0528264 I, 0.0388752 + 0.350374 I},
{0.302914 + 0.149282 I, -0.427898 - 0.321483 I, 0.082552 + 0.405621 I, -0.241399 - 0.322188 I, 0.194157 + 0.0358916 I, 0.0426257 + 0.474643 I},
{0.093886 + 0.166277 I, -0.471012 - 0.268754 I, 0.159548 + 0.445932 I, -0.422206 - 0.409505 I, 0.260836 + 0.0290587 I, 0.158644 + 0.0717288 I},
{0.448176 + 0.0760593 I, -0.136815 - 0.224861 I, 0.0186482 + 0.181495 I, -0.265051 - 0.405122 I, 0.312156 + 0.368513 I, 0.377283 + 0.284292 I},
{0.0393691 + 0.187191 I, -0.518097 - 0.302625 I, 0.499983 + 0.152741 I, -0.328737 - 0.260128 I, 0.187374 + 0.209824 I, 0.200278 + 0.187375 I},
{0.148837 + 0.375676 I, -0.141395 - 0.28784 I, 0.376846 + 0.330456 I, -0.0238425 - 0.34348 I, 0.464818 + 0.222765 I, 0.27866 + 0.144143 I},
{0.0922017 + 0.21047 I, -0.271198 - 0.411791 I, 0.290823 + 0.156591 I, -0.268163 - 0.344826 I, 0.277602 + 0.426992 I, 0.32684 + 0.194822 I},
{0.0234258 + 0.335961 I, -0.397298 - 0.113482 I, 0.554112 + 0.196902 I, -0.443511 - 0.00807512 I, 0.221057 + 0.108843 I, 0.306076 + 0.137424 I},
{0.219298 + 0.212432 I, -0.451291 - 0.28853 I, 0.528577 + 0.206818 I, -0.0000901165 - 0.372599 I, 0.226643 + 0.226698 I, 0.236869 + 0.00221718 I},
{0.409058 + 0.0701324 I, -0.244499 - 0.327573 I, 0.216446 + 0.349233 I, -0.389788 - 0.234255 I, 0.221252 + 0.208191 I, 0.341385 + 0.276058 I},
{0.276693 + 0.477075 I, -0.286629 - 0.152896 I, 0.212687 + 0.4386 I, -0.0788554 - 0.271323 I, 0.327037 + 0.297462 I, 0.247861 + 0.126471 I},
{0.21814 + 0.412414 I, -0.291477 - 0.0102832 I, 0.305827 + 0.0314852 I, -0.216507 - 0.119362 I, 0.306825 + 0.447873 I, 0.122691 + 0.481493 I},
{0.436769 + 0.369653 I, -0.0435074 - 0.205871 I, 0.231857 + 0.138095 I, -0.425297 - 0.244034 I, 0.479292 + 0.0731274 I, 0.260748 + 0.109531 I},
{0.154475 + 0.340172 I, -0.219561 - 0.163181 I, 0.330588 + 0.330095 I, -0.311984 - 0.359478 I, 0.268359 + 0.406447 I, 0.315361 + 0.0640896 I},
{0.0988736 + 0.525955 I, -0.0887662 - 0.302989 I, 0.145861 + 0.247542 I, -0.496046 - 0.415046 I, 0.176659 + 0.0612411 I, 0.112584 + 0.255737 I},
{0.153271 + 0.463519 I, -0.444658 - 0.161638 I, 0.218598 + 0.264984 I, -0.275524 - 0.0912722 I, 0.252918 + 0.387066 I, 0.34882 + 0.0101283 I},
{0.227691 + 0.26348 I, -0.421661 - 0.39139 I, 0.45917 + 0.112411 I, -0.0434213 - 0.0382714 I, 0.282262 + 0.281262 I, 0.402172 + 0.0201279 I},
{0.371165 + 0.20059 I, -0.352105 - 0.40918 I, 0.315969 + 0.214862 I, -0.398184 - 0.148523 I, 0.351133 + 0.0336053 I, 0.247153 + 0.135917 I},
{0.16902 + 0.0370619 I, -0.160284 - 0.288659 I, 0.559622 + 0.0327005 I, -0.24284 - 0.312351 I, 0.241859 + 0.541687 I, 0.191582 + 0.0404792 I},
{0.274575 + 0.300235 I, -0.149123 - 0.0868812 I, 0.51902 + 0.306506 I, -0.335199 - 0.320324 I, 0.276141 + 0.281164 I, 0.173917 + 0.202074 I},
{0.422891 + 0.0689381 I, -0.0287071 - 0.206877 I, 0.255018 + 0.402314 I, -0.35699 - 0.366153 I, 0.276481 + 0.0936331 I, 0.225285 + 0.385259 I},
{0.257514 + 0.18126 I, -0.367369 - 0.450099 I, 0.103482 + 0.381194 I, -0.269093 - 0.461094 I, 0.283452 + 0.0802713 I, 0.0914986 + 0.164578 I},
{0.286896 + 0.216604 I, -0.208906 - 0.180484 I, 0.341069 + 0.212769 I, -0.240308 - 0.358889 I, 0.250062 + 0.327817 I, 0.343752 + 0.397804 I},
{0.0963743 + 0.125734 I, -0.0778106 - 0.298826 I, 0.525505 + 0.261389 I, -0.00808345 - 0.400205 I, 0.140187 + 0.373131 I, 0.464521 + 0.0135825 I},
{0.126841 + 0.263287 I, -0.13712 - 0.441511 I, 0.222504 + 0.0374695 I, -0.197649 - 0.29849 I, 0.0191648 + 0.47388 I, 0.314032 + 0.44524 I},
{0.367409 + 0.366447 I, -0.401219 - 0.445466 I, 0.23639 + 0.342917 I, -0.00867206 - 0.00447855 I, 0.0602309 + 0.195757 I, 0.363404 + 0.154051 I},
{0.379257 + 0.0778626 I, -0.495198 - 0.0833983 I, 0.156972 + 0.353284 I, -0.0649501 - 0.268097 I, 0.22165 + 0.462259 I, 0.262544 + 0.201592 I},
{0.453902 + 0.280448 I, -0.338824 - 0.283374 I, 0.274942 + 0.429929 I, -0.168342 - 0.295666 I, 0.174392 + 0.243399 I, 0.0479923 + 0.22819 I},
{0.161252 + 0.31612 I, -0.0583678 - 0.374279 I, 0.055261 + 0.41409 I, -0.294773 - 0.0385721 I, 0.509834 + 0.0723559 I, 0.00782132 + 0.449938 I},
{0.00640508 + 0.113635 I, -0.398849 - 0.237465 I, 0.340092 + 0.362044 I, -0.379678 - 0.211641 I, 0.394111 + 0.324707 I, 0.271165 + 0.0400173 I},
{0.278974 + 0.259352 I, -0.375642 - 0.146154 I, 0.272346 + 0.101999 I, -0.0727941 - 0.401584 I, 0.254427 + 0.371912 I, 0.123012 + 0.472349 I},
{0.338204 + 0.372431 I, -0.147604 - 0.366496 I, 0.131568 + 0.275681 I, -0.0845605 - 0.356791 I, 0.394915 + 0.202961 I, 0.223632 + 0.340417 I},
{0.213124 + 0.453555 I, -0.249349 - 0.394297 I, 0.124215 + 0.448178 I, -0.102257 - 0.328077 I, 0.185767 + 0.333392 I, 0.0703108 + 0.215021 I},
{0.300036 + 0.31358 I, -0.389259 - 0.0882573 I, 0.0252617 + 0.350219 I, -0.12489 - 0.0198018 I, 0.328718 + 0.510071 I, 0.00991804 + 0.38043 I},
{0.385257 + 0.379505 I, -0.0324027 - 0.16711 I, 0.323079 + 0.206527 I, -0.0398993 - 0.296137 I, 0.110083 + 0.435473 I, 0.353833 + 0.339561 I},
{0.11367 + 0.514957 I, -0.224901 - 0.305746 I, 0.388853 + 0.0455742 I, -0.0353572 - 0.290479 I, 0.290302 + 0.458587 I, 0.18032 + 0.108779 I},
{0.472763 + 0.061197 I, -0.215541 - 0.300092 I, 0.178421 + 0.280468 I, -0.273991 - 0.28714 I, 0.480461 + 0.208855 I, 0.172254 + 0.25315 I},
{0.0903099 + 0.287025 I, -0.224008 - 0.255401 I, 0.44673 + 0.054972 I, -0.163954 - 0.334672 I, 0.161351 + 0.426318 I, 0.455452 + 0.193279 I},
{0.152224 + 0.194522 I, -0.344169 - 0.569494 I, 0.246923 + 0.497631 I, -0.0993777 - 0.049897 I, 0.0866067 + 0.273348 I, 0.177016 + 0.248366 I},
{0.193655 + 0.467496 I, -0.04327 - 0.106927 I, 0.525774 + 0.20005 I, -0.233851 - 0.034559 I, 0.441732 + 0.230721 I, 0.329016 + 0.0411043 I},
{0.289249 + 0.382896 I, -0.445966 - 0.0778876 I, 0.303325 + 0.0620652 I, -0.353075 - 0.357478 I, 0.306562 + 0.336046 I, 0.0347898 + 0.0913595 I},
{0.0696521 + 0.401661 I, -0.245556 - 0.130998 I, 0.0130512 + 0.0173059 I, -0.342075 - 0.0840454 I, 0.564003 + 0.213231 I, 0.337912 + 0.392502 I},
{0.262883 + 0.262303 I, -0.0540621 - 0.370946 I, 0.235608 + 0.369574 I, -0.286615 - 0.252541 I, 0.342968 + 0.108408 I, 0.334686 + 0.377029 I},
{0.324651 + 0.177911 I, -0.358636 - 0.40012 I, 0.226783 + 0.329944 I, -0.425874 - 0.231439 I, 0.196937 + 0.225807 I, 0.0177016 + 0.298198 I},
{0.299068 + 0.416459 I, -0.341377 - 0.251054 I, 0.329774 + 0.331853 I, -0.0150723 - 0.33628 I, 0.353664 + 0.0909794 I, 0.00394529 + 0.303306 I},
{0.324347 + 0.149356 I, -0.055621 - 0.0163288 I, 0.012468 + 0.181871 I, -0.34093 - 0.0929148 I, 0.533672 + 0.599306 I, 0.00650809 + 0.258877 I},
{0.250901 + 0.407542 I, -0.334867 - 0.230157 I, 0.189357 + 0.116504 I, -0.401105 - 0.0756442 I, 0.0463483 + 0.272601 I, 0.356786 + 0.431345 I},
{0.0324061 + 0.210842 I, -0.159787 - 0.525288 I, 0.426776 + 0.437015 I, -0.0846769 - 0.061144 I, 0.0499121 + 0.0697224 I, 0.046868 + 0.509371 I},
{0.0256795 + 0.157277 I, -0.105349 - 0.486341 I, 0.294275 + 0.48827 I, -0.073979 - 0.34503 I, 0.115961 + 0.50272 I, 0.100662 + 0.0338663 I},
{0.0297164 + 0.202287 I, -0.145865 - 0.351436 I, 0.0908173 + 0.236477 I, -0.331528 - 0.0871496 I, 0.454687 + 0.308218 I, 0.419287 + 0.39268 I},
{0.167092 + 0.118695 I, -0.278039 - 0.363604 I, 0.265258 + 0.39516 I, -0.0857089 - 0.244944 I, 0.392167 + 0.185991 I, 0.312443 + 0.410624 I},
{0.0831352 + 0.181267 I, -0.0809113 - 0.113699 I, 0.144285 + 0.105726 I, -0.170726 - 0.104607 I, 0.484751 + 0.377334 I, 0.404816 + 0.572216 I},
{0.422632 + 0.144535 I, -0.0919237 - 0.360371 I, 0.119286 + 0.341936 I, -0.36165 - 0.308823 I, 0.447824 + 0.0523943 I, 0.26856 + 0.171601 I},
{0.340763 + 0.112165 I, -0.0956706 - 0.396819 I, 0.381163 + 0.107105 I, -0.339123 - 0.143229 I, 0.329793 + 0.335984 I, 0.103009 + 0.424437 I},
{0.412229 + 0.22794 I, -0.281811 - 0.38697 I, 0.390676 + 0.106801 I, -0.286048 - 0.435515 I, 0.153115 + 0.264066 I, 0.0575797 + 0.130102 I},
{0.0596371 + 0.386096 I, -0.41491 - 0.0718192 I, 0.527435 + 0.42354 I, -0.0164885 - 0.00975023 I, 0.0136749 + 0.0528277 I, 0.234765 + 0.392468 I},
{0.238664 + 0.218022 I, -0.330963 - 0.321506 I, 0.0513584 + 0.117116 I, -0.432594 - 0.426821 I, 0.30133 + 0.177883 I, 0.337422 + 0.246252 I},
{0.0195437 + 0.336157 I, -0.385877 - 0.396156 I, 0.423012 + 0.264901 I, -0.0767435 - 0.232643 I, 0.295474 + 0.104408 I, 0.385468 + 0.15767 I},
{0.205797 + 0.0066017 I, -0.10362 - 0.106068 I, 0.111254 + 0.499983 I, -0.558315 - 0.16993 I, 0.194381 + 0.268849 I, 0.348564 + 0.317968 I},
{0.248376 + 0.500151 I, -0.0760852 - 0.308385 I, 0.0607003 + 0.292134 I, -0.0995315 - 0.387879 I, 0.298374 + 0.312066 I, 0.0614443 + 0.384314 I},
{0.51657 + 0.162358 I, -0.398715 - 0.525067 I, 0.200446 + 0.0841532 I, -0.197374 - 0.0249675 I, 0.167311 + 0.193587 I, 0.227915 + 0.260522 I},
{0.31115 + 0.252416 I, -0.392707 - 0.261385 I, 0.252625 + 0.404325 I, -0.440088 - 0.0239862 I, 0.0253743 + 0.260085 I, 0.196928 + 0.297172 I},
{0.498531 + 0.00245868 I, -0.0153762 - 0.0485112 I, 0.42908 + 0.0735946 I, -0.414652 - 0.108658 I, 0.33406 + 0.194362 I, 0.240782 + 0.410188 I},
{0.408494 + 0.0881863 I, -0.410502 - 0.368343 I, 0.0866411 + 0.359868 I, -0.238747 - 0.319595 I, 0.1813 + 0.247167 I, 0.34494 + 0.109864 I},
{0.334957 + 0.200548 I, -0.160036 - 0.220396 I, 0.231568 + 0.336702 I, -0.263315 - 0.375904 I, 0.328789 + 0.171287 I, 0.35359 + 0.365104 I},
{0.367157 + 0.389521 I, -0.42175 - 0.137434 I, 0.323505 + 0.182423 I, -0.14543 - 0.384742 I, 0.186966 + 0.401148 I, 0.112048 + 0.0341697 I},
{0.297349 + 0.348438 I, -0.339585 - 0.3917 I, 0.275606 + 0.286107 I, -0.113622 - 0.173608 I, 0.414271 + 0.157054 I, 0.173295 + 0.306995 I},
{0.267257 + 0.391742 I, -0.301899 - 0.0546956 I, 0.311994 + 0.428979 I, -0.284459 - 0.189366 I, 0.176694 + 0.233868 I, 0.374294 + 0.238383 I},
{0.447732 + 0.0994577 I, -0.357106 - 0.218537 I, 0.233588 + 0.165027 I, -0.15463 - 0.256913 I, 0.276254 + 0.162479 I, 0.408977 + 0.415538 I},
{0.385606 + 0.175306 I, -0.272446 - 0.107295 I, 0.342528 + 0.0406692 I, -0.225636 - 0.124821 I, 0.456968 + 0.446014 I, 0.0428641 + 0.373872 I},
{0.22983 + 0.0880681 I, -0.339385 - 0.398963 I, 0.290094 + 0.376723 I, -0.188782 - 0.420794 I, 0.296478 + 0.0232459 I, 0.346009 + 0.134632 I},
{0.168566 + 0.0862202 I, -0.445537 - 0.346538 I, 0.376315 + 0.177162 I, -0.395847 - 0.141452 I, 0.192726 + 0.0365128 I, 0.377012 + 0.339473 I},
{0.101269 + 0.409445 I, -0.347027 - 0.396926 I, 0.116333 + 0.0149872 I, -0.461725 - 0.286462 I, 0.034993 + 0.107592 I, 0.109484 + 0.458613 I},
{0.0964945 + 0.278947 I, -0.266794 - 0.218181 I, 0.265648 + 0.395055 I, -0.361452 - 0.262868 I, 0.424007 + 0.336832 I, 0.104282 + 0.252188 I},
{0.0215525 + 0.417049 I, -0.46618 - 0.413011 I, 0.433409 + 0.044476 I, -0.193853 - 0.00231571 I, 0.17744 + 0.0191556 I, 0.335692 + 0.256432 I},
{0.440391 + 0.0340096 I, -0.332413 - 0.308269 I, 0.267706 + 0.311286 I, -0.195441 - 0.49724 I, 0.0224241 + 0.18726 I, 0.249022 + 0.218584 I},
{0.141471 + 0.342364 I, -0.17752 - 0.364195 I, 0.262219 + 0.0916486 I, -0.363319 - 0.356407 I, 0.30384 + 0.226758 I, 0.27727 + 0.37659 I},
{0.232413 + 0.243405 I, -0.23272 - 0.294804 I, 0.27172 + 0.0719617 I, -0.0683565 - 0.340362 I, 0.343793 + 0.534638 I, 0.197384 + 0.32117 I},
{0.189658 + 0.00212603 I, -0.178128 - 0.437744 I, 0.411367 + 0.287638 I, -0.048118 - 0.448774 I, 0.392195 + 0.343631 I, 0.00938696 + 0.114088 I},
{0.319635 + 0.3636 I, -0.299313 - 0.0612334 I, 0.0773443 + 0.428077 I, -0.402648 - 0.245984 I, 0.413612 + 0.16997 I, 0.001318 + 0.245884 I},
{0.464764 + 0.206275 I, -0.393194 - 0.155792 I, 0.480654 + 0.30869 I, -0.298611 - 0.0240648 I, 0.350946 + 0.0355011 I, 0.0901106 + 0.118167 I},
{0.436068 + 0.212158 I, -0.288512 - 0.392362 I, 0.46211 + 0.0655356 I, -0.0939732 - 0.0242452 I, 0.358582 + 0.147243 I, 0.0664824 + 0.381715 I},
{0.0312423 + 0.215064 I, -0.0146689 - 0.477061 I, 0.472745 + 0.22477 I, -0.269129 - 0.393727 I, 0.344215 + 0.253893 I, 0.191452 + 0.0625246 I},
{0.176865 + 0.400605 I, -0.396678 - 0.393179 I, 0.288838 + 0.293879 I, -0.0970833 - 0.0126498 I, 0.406144 + 0.362262 I, 0.0932808 + 0.109662 I},
{0.0512815 + 0.599886 I, -0.537598 - 0.0575725 I, 0.0449764 + 0.111651 I, -0.278881 - 0.208289 I, 0.018853 + 0.0506892 I, 0.454478 + 0.00765458 I},
{0.202237 + 0.361576 I, -0.388401 - 0.157134 I, 0.309911 + 0.366486 I, -0.413249 - 0.189205 I, 0.228174 + 0.238278 I, 0.177692 + 0.274722 I},
{0.328956 + 0.412051 I, -0.346045 - 0.041494 I, 0.137499 + 0.159359 I, -0.396535 - 0.257422 I, 0.440317 + 0.224399 I, 0.0702572 + 0.289061 I},
{0.00268325 + 0.104764 I, -0.484729 - 0.426125 I, 0.0414882 + 0.181448 I, -0.11054 - 0.40169 I, 0.221385 + 0.435608 I, 0.328123 + 0.133507 I},
{0.0728136 + 0.272312 I, -0.295293 - 0.255576 I, 0.466205 + 0.0337294 I, -0.249021 - 0.305474 I, 0.191604 + 0.350639 I, 0.391451 + 0.285172 I},
{0.365142 + 0.340711 I, -0.152187 - 0.33393 I, 0.32694 + 0.140763 I, -0.387155 - 0.39211 I, 0.243754 + 0.242411 I, 0.242392 + 0.0929579 I},
{0.21901 + 0.239287 I, -0.267442 - 0.151896 I, 0.0955787 + 0.434071 I, -0.114958 - 0.491769 I, 0.452116 + 0.0456891 I, 0.372484 + 0.0482998 I},
{0.272568 + 0.0679906 I, -0.0278962 - 0.0443707 I, 0.324069 + 0.22915 I, -0.26245 - 0.55839 I, 0.415525 + 0.369429 I, 0.00919102 + 0.266278 I},
{0.219841 + 0.178085 I, -0.349229 - 0.433726 I, 0.04957 + 0.147515 I, -0.435783 - 0.109001 I, 0.497913 + 0.046033 I, 0.347168 + 0.115361 I},
{0.38253 + 0.214676 I, -0.421645 - 0.244142 I, 0.215498 + 0.377269 I, -0.0792429 - 0.342644 I, 0.0345187 + 0.341291 I, 0.371056 + 0.04884 I},
{0.371183 + 0.25825 I, -0.112121 - 0.246482 I, 0.126118 + 0.252876 I, -0.429913 - 0.241457 I, 0.232531 + 0.408096 I, 0.0272326 + 0.421748 I},
{0.258109 + 0.471602 I, -0.00384343 - 0.14353 I, 0.194225 + 0.323466 I, -0.330351 - 0.330733 I, 0.255446 + 0.03336 I, 0.477246 + 0.188036 I},
{0.00365474 + 0.443642 I, -0.100082 - 0.215841 I, 0.466684 + 0.231156 I, -0.137909 - 0.158476 I, 0.248965 + 0.318034 I, 0.176506 + 0.486744 I},
{0.140105 + 0.103534 I, -0.386761 - 0.500334 I, 0.351862 + 0.219858 I, -0.0994614 - 0.399323 I, 0.0663663 + 0.0372889 I, 0.319334 + 0.347085 I},
{0.030867 + 0.0540678 I, -0.3297 - 0.0549944 I, 0.301981 + 0.111202 I, -0.381764 - 0.217622 I, 0.359395 + 0.32689 I, 0.24503 + 0.540069 I},
{0.488117 + 0.19579 I, -0.167338 - 0.113193 I, 0.379392 + 0.475943 I, -0.0769033 - 0.0309932 I, 0.320967 + 0.208959 I, 0.254324 + 0.306423 I},
{0.303175 + 0.443557 I, -0.0212228 - 0.325311 I, 0.353304 + 0.0787761 I, -0.220752 - 0.280814 I, 0.387371 + 0.0212058 I, 0.409893 + 0.167116 I},
{0.225805 + 0.294236 I, -0.401535 - 0.0681862 I, 0.216968 + 0.00707171 I, -0.458391 - 0.300648 I, 0.0100669 + 0.187057 I, 0.432224 + 0.356386 I},
{0.402092 + 0.296831 I, -0.162688 - 0.367953 I, 0.422262 + 0.0245803 I, -0.0745743 - 0.283796 I, 0.428768 + 0.327255 I, 0.150323 + 0.0990473 I},
{0.101546 + 0.200091 I, -0.523457 - 0.0880731 I, 0.014281 + 0.385037 I, -0.121202 - 0.299723 I, 0.326021 + 0.509034 I, 0.0915648 + 0.202774 I},
{0.379795 + 0.203867 I, -0.070448 - 0.179679 I, 0.388417 + 0.420042 I, -0.0137238 - 0.415317 I, 0.272898 + 0.444314 I, 0.000698118 + 0.0712613 I},
{0.276682 + 0.0703418 I, -0.103655 - 0.22836 I, 0.0773869 + 0.143186 I, -0.388863 - 0.543003 I, 0.170563 + 0.38436 I, 0.315909 + 0.32623 I},
{0.228208 + 0.373996 I, -0.16719 - 0.370906 I, 0.261897 + 0.334574 I, -0.154244 - 0.0236877 I, 0.391287 + 0.0590792 I, 0.328462 + 0.416124 I},
{0.396983 + 0.372696 I, -0.410366 - 0.0911831 I, 0.363791 + 0.24928 I, -0.302813 - 0.0416506 I, 0.286215 + 0.134034 I, 0.300831 + 0.220201 I},
{0.39969 + 0.294866 I, -0.409378 - 0.0572574 I, 0.178787 + 0.151732 I, -0.402891 - 0.348688 I, 0.224363 + 0.430749 I, 0.0622492 + 0.061511 I},
{0.431447 + 0.0339497 I, -0.0432031 - 0.191064 I, 0.190986 + 0.468695 I, -0.254162 - 0.463575 I, 0.365756 + 0.245965 I, 0.20505 + 0.0485339 I},
{0.362569 + 0.140599 I, -0.129977 - 0.449947 I, 0.289695 + 0.223897 I, -0.325287 - 0.136315 I, 0.175436 + 0.320468 I, 0.178177 + 0.453606 I},
{0.336591 + 0.0947224 I, -0.0539363 - 0.305667 I, 0.00898152 + 0.452246 I, -0.199529 - 0.414636 I, 0.419713 + 0.0177478 I, 0.113048 + 0.419281 I},
{0.201727 + 0.358969 I, -0.155198 - 0.104214 I, 0.0699172 + 0.273215 I, -0.221762 - 0.00630008 I, 0.495315 + 0.0755085 I, 0.503043 + 0.403306 I},
{0.234912 + 0.155436 I, -0.464954 - 0.141171 I, 0.242919 + 0.150835 I, -0.220604 - 0.149147 I, 0.511069 + 0.289529 I, 0.222172 + 0.370802 I},
{0.236017 + 0.408485 I, -0.284267 - 0.290459 I, 0.419999 + 0.008819 I, -0.373628 - 0.0320421 I, 0.119836 + 0.11586 I, 0.475905 + 0.202212 I},
{0.25458 + 0.274704 I, -0.0640521 - 0.348052 I, 0.111739 + 0.474673 I, -0.10924 - 0.44623 I, 0.244148 + 0.381388 I, 0.205182 + 0.196124 I},
{0.349505 + 0.253061 I, -0.353186 - 0.303753 I, 0.417362 + 0.129897 I, -0.310663 - 0.014835 I, 0.208596 + 0.406647 I, 0.190747 + 0.252479 I},
{0.433273 + 0.20284 I, -0.216301 - 0.122991 I, 0.194093 + 0.0952421 I, -0.341624 - 0.437127 I, 0.102695 + 0.45319 I, 0.235247 + 0.288823 I},
{0.150214 + 0.404784 I, -0.33856 - 0.0206722 I, 0.31803 + 0.0360863 I, -0.130555 - 0.246385 I, 0.189359 + 0.397013 I, 0.376987 + 0.427486 I},
{0.00321433 + 0.286129 I, -0.555076 - 0.0799886 I, 0.254617 + 0.0192335 I, -0.372887 - 0.0108701 I, 0.131364 + 0.163181 I, 0.145042 + 0.578212 I},
{0.362193 + 0.0616148 I, -0.417781 - 0.414615 I, 0.300598 + 0.117831 I, -0.155259 - 0.290857 I, 0.119727 + 0.0189798 I, 0.42599 + 0.330855 I},
{0.118466 + 0.476923 I, -0.21194 - 0.199818 I, 0.320312 + 0.0550713 I, -0.332925 - 0.330535 I, 0.0492799 + 0.227666 I, 0.349965 + 0.413768 I},
{0.104695 + 0.198514 I, -0.349177 - 0.311081 I, 0.430051 + 0.0217047 I, -0.238286 - 0.0230258 I, 0.385973 + 0.228571 I, 0.446838 + 0.295509 I},
{0.293385 + 0.52496 I, -0.27429 - 0.0340856 I, 0.0104136 + 0.268584 I, -0.242666 - 0.249954 I, 0.181888 + 0.279305 I, 0.374805 + 0.341706 I},
{0.0904435 + 0.248264 I, -0.0350839 - 0.0530902 I, 0.0712156 + 0.354841 I, -0.265876 - 0.150396 I, 0.0335604 + 0.480982 I, 0.554877 + 0.401851 I},
{0.134924 + 0.396234 I, -0.36303 - 0.102548 I, 0.100194 + 0.23902 I, -0.360033 - 0.193292 I, 0.320497 + 0.316371 I, 0.351701 + 0.349041 I},
{0.0868891 + 0.164658 I, -0.364725 - 0.0195163 I, 0.56038 + 0.41565 I, -0.183583 - 0.00810804 I, 0.296514 + 0.0340204 I, 0.470111 + 0.0359288 I},
{0.222171 + 0.190994 I, -0.0992486 - 0.310059 I, 0.60158 + 0.0645252 I, -0.0172183 - 0.357873 I, 0.193006 + 0.0945788 I, 0.514045 + 0.0574803 I},
{0.158314 + 0.388911 I, -0.340135 - 0.202716 I, 0.381239 + 0.011664 I, -0.43956 - 0.384757 I, 0.25348 + 0.100226 I, 0.267295 + 0.185537 I},
{0.27037 + 0.386989 I, -0.410218 - 0.0270088 I, 0.40919 + 0.392062 I, -0.162569 - 0.0857394 I, 0.336943 + 0.0773712 I, 0.00213185 + 0.365624 I},
{0.476192 + 0.350432 I, -0.119919 - 0.188405 I, 0.266134 + 0.307413 I, -0.221323 - 0.213324 I, 0.311606 + 0.330713 I, 0.0973968 + 0.353249 I},
{0.195248 + 0.404537 I, -0.0822544 - 0.248029 I, 0.305779 + 0.395859 I, -0.388474 - 0.0381878 I, 0.150795 + 0.339496 I, 0.163868 + 0.403136 I},
{0.289824 + 0.0796592 I, -0.330763 - 0.121851 I, 0.229692 + 0.316711 I, -0.147968 - 0.411112 I, 0.258266 + 0.267036 I, 0.320552 + 0.447962 I},
{0.0288778 + 0.00871028 I, -0.326384 - 0.423883 I, 0.245693 + 0.270144 I, -0.0235994 - 0.0718239 I, 0.567154 + 0.114297 I, 0.17493 + 0.456619 I},
{0.113436 + 0.259526 I, -0.0324608 - 0.154353 I, 0.278578 + 0.481302 I, -0.108177 - 0.441899 I, 0.27504 + 0.292849 I, 0.464827 + 0.0345489 I},
{0.185563 + 0.0666045 I, -0.403811 - 0.0230099 I, 0.452079 + 0.218692 I, -0.191356 - 0.124802 I, 0.44545 + 0.2985 I, 0.162483 + 0.423336 I},
{0.325777 + 0.14676 I, -0.159461 - 0.39827 I, 0.338022 + 0.0942789 I, -0.317844 - 0.151201 I, 0.383293 + 0.358443 I, 0.321448 + 0.250054 I},
{0.498123 + 0.374216 I, -0.151397 - 0.365538 I, 0.248695 + 0.0307941 I, -0.115844 - 0.0979796 I, 0.419608 + 0.300766 I, 0.243603 + 0.208821 I},
{0.291293 + 0.366062 I, -0.212183 - 0.341365 I, 0.37716 + 0.394209 I, -0.0641703 - 0.217863 I, 0.0947925 + 0.174433 I, 0.383705 + 0.289347 I},
{0.142208 + 0.337863 I, -0.379773 - 0.375481 I, 0.203169 + 0.0733266 I, -0.263546 - 0.23974 I, 0.294765 + 0.371539 I, 0.11441 + 0.410863 I},
{0.377914 + 0.497432 I, -0.00703553 - 0.33174 I, 0.0385822 + 0.498162 I, -0.259366 - 0.15828 I, 0.0687058 + 0.357602 I, 0.0336961 + 0.154688 I},
{0.301562 + 0.23704 I, -0.0792844 - 0.357341 I, 0.122407 + 0.41178 I, -0.150675 - 0.30698 I, 0.475001 + 0.143339 I, 0.408715 + 0.0647082 I},
{0.0600974 + 0.0371074 I, -0.313277 - 0.10103 I, 0.273182 + 0.420511 I, -0.396793 - 0.553115 I, 0.227597 + 0.00989341 I, 0.250711 + 0.23889 I},
{0.0130713 + 0.0753228 I, -0.304889 - 0.204906 I, 0.457818 + 0.183756 I, -0.0714893 - 0.461528 I, 0.325007 + 0.287118 I, 0.442918 + 0.116132 I},
